"","controlPerc","treatPerc","controlCount","treatCount","countDiff","midCount","binom.p.value","chi.p.value","preference","controlAct","treatAct","speedP","controlD","treatD","controlTA","controlTF45","controlTF90","treatTA","treatTF45","treatTF90","crosses","explorer","expNum"
"1",51.3904338153504,48.0533926585095,462,432,-30,5,0.256797314542295,0.31569197459865,FALSE,3.3251645021645,2.77315046296296,0.00479601114118786,1536.226,1198.001,148.480633455492,370,270,167.384389566928,342,265,8,TRUE,2
"2",53.1701890989989,46.496106785317,478,418,-60,3,0.0385982384625131,0.0450208810025388,TRUE,2.00973221757322,2.79911244019139,2.4808801151201e-13,960.652,1170.029,175.077707333779,406,341,184.620737234704,364,309,6,TRUE,3
"3",11.1234705228031,31.8131256952169,100,286,186,513,3.95768879293703e-28,2.87580914898589e-21,TRUE,5.2219,8.2603006993007,1.10822596281783e-141,522.19,2362.446,208.050515495455,86,75,202.550296399511,270,232,57,TRUE,4
"4",16.2612035851472,21.3828425096031,127,167,40,487,8.0674590448857e-61,0.0196561572501699,TRUE,1.11788976377953,1.62419161676647,3.22735193729547e-15,141.972,271.24,196.824282831158,107,92,178.843804038393,126,112,68,TRUE,6
"5",16.2612035851472,21.3828425096031,127,167,40,487,8.0674590448857e-61,0.0196561572501699,TRUE,1.11788976377953,1.62419161676647,3.22735193729547e-15,141.972,271.24,196.824282831158,107,92,178.843804038393,126,112,68,TRUE,7
"6",2.49702734839477,97.5029726516052,21,820,799,NA,5.61148367947075e-212,4.21980758926869e-167,TRUE,8.23171428571429,1.0050512195122,3.68461817705175e-48,172.866,824.142,185.556589981101,17,12,199.91685313459,696,626,9,TRUE,8
"7",37.0411568409344,14.7942157953281,333,133,-200,433,9.32245195731733e-109,1.95404639658865e-20,TRUE,2.07131231231231,6.20406015037594,5.92394209303987e-70,689.747,825.14,168.254704945702,261,211,200.362033379034,112,92,46,TRUE,9
"8",46.384872080089,9.67741935483871,417,87,-330,395,3.23044962653934e-148,6.50638279296308e-49,TRUE,1.92020623501199,3.87206896551724,3.20929189032694e-25,800.726,336.87,171.967238098854,341,279,186.591016636937,67,56,105,TRUE,10
"9",25.3615127919911,51.5016685205784,228,463,235,208,0.385871614272626,3.89800133683973e-19,FALSE,2.48013596491228,1.81417494600432,2.65095657470932e-09,565.471,839.963,172.070348428422,190,151,179.114988288479,392,322,64,TRUE,11
"10",29.3659621802002,63.9599555061179,264,575,311,60,4.76065404076118e-17,6.82901924884255e-27,TRUE,5.63172727272727,4.93665217391304,0.0130712745510898,1486.776,2838.575,162.90907135072,205,147,183.344888541052,475,377,122,TRUE,12
"11",26.6963292547275,70.3003337041157,240,632,392,27,7.48279600460488e-35,3.24156784840011e-40,TRUE,9.496625,9.24278481012658,0.368741291806236,2279.19,5841.44,143.148891990852,199,136,175.507563393248,587,492,117,TRUE,13
"12",32.5917686318131,43.9377085650723,293,395,102,211,0.000310928341281697,0.000100776978072955,TRUE,3.97766552901024,3.52633670886076,0.00295659110765371,1165.456,1392.903,172.414865047735,231,188,191.628634452325,337,288,164,TRUE,14
"13",1.11234705228031,98.1090100111235,10,882,872,7,1.90650328872854e-235,2.13438758929086e-187,TRUE,4.0482,0.702298185941043,1.95309077681278e-22,40.482,619.427,126.409153855345,7,5,214.195661138087,743,656,7,TRUE,15
"14",49.3882091212458,44.4938820912125,444,400,-44,55,0.00107005369327587,0.129888313354243,FALSE,8.8866509009009,9.1976775,0.117304277213903,3945.673,3679.071,180.801881836009,364,300,168.747718899625,326,250,193,TRUE,17
"15",40.9343715239155,55.0611790878754,368,495,127,36,0.00266538778825032,1.5383083340403e-05,TRUE,8.02891032608696,8.58306262626263,0.0488806171965657,2954.639,4248.616,205.553723682191,314,267,178.578804382181,407,310,164,TRUE,18
"16",23.3592880978865,27.2525027808676,210,245,35,444,1.1203258881412e-43,0.100833683139477,FALSE,3.90949523809524,4.3053306122449,7.34876298557956e-35,820.994,1054.806,183.385106336545,163,137,179.98591866831,179,157,112,TRUE,19
"17",27.8396436525612,68.8195991091314,250,618,368,30,5.02842087084501e-30,8.3876335338849e-36,TRUE,11.681204,10.7670210355987,0.00880765773956617,2920.301,6654.019,156.984003241275,201,158,191.626196571011,555,450,171,TRUE,20
"18",42.825361512792,52.2803114571746,385,470,85,44,0.182147814300584,0.0036498475560537,FALSE,13.5457792207792,12.1663191489362,0.00366844762913635,5215.125,5718.17,170.275474307598,324,264,173.541982063207,402,314,284,TRUE,21
"19",45.2725250278087,51.1679644048943,407,460,53,32,0.504770264766414,0.071864685517493,FALSE,10.8065454545455,10.6793108695652,0.0247053288363174,4398.264,4912.483,206.48801937881,358,305,164.363119409753,393,296,215,TRUE,22
"20",67.5194660734149,30.0333704115684,607,270,-337,22,9.77137201469184e-34,5.27922249823097e-30,TRUE,5.51281054365733,5.22366296296296,0.0625096677498496,3346.276,1410.389,153.553393825598,477,309,146.440778152826,198,122,64,TRUE,23
"21",26.8075639599555,41.8242491657397,241,376,135,282,1.0623517205033e-06,5.48286002033114e-08,TRUE,5.3324398340249,6.02794680851064,1.8607956593732e-30,1285.118,2266.508,0,0,0,0,0,0,158,TRUE,24
"22",26.6533066132265,69.939879759519,133,349,216,17,2.57329206588892e-19,7.68247986821765e-23,TRUE,2.22315037593985,2.1603323782235,0.0834445695787051,295.679,753.956,213.736922893544,121,107,250.244729151018,318,291,26,TRUE,26
